name,average
amd ryzen threadripper pro 3995wx,0.7544888004815133
amd ryzen 9 5950x,0.6847956578756701
amd ryzen threadripper 2970wx,0.47782025908080183
amd ryzen 9 5900x,0.5982488580364573
intel core i9-9980xe,0.5436444185694655
amd ryzen threadripper 2950x,0.4630490201534594
intel core i9-12900h,0.6460126679451359
intel core i5-12600k,0.6491599221801204
intel core i9-11900kb,0.5438519941609478
intel core i9-10900k,0.5214936324336265
amd ryzen 7 5700g,0.5425530247486454
intel core i7-11700k,0.574759100909312
apple m1 max,0.5364336516007978
intel core i9-10910,0.4975814630166892
amd ryzen threadripper 2920x,0.42880000053016765
amd ryzen 9 6900hs,0.5424834762997884
amd ryzen threadripper 1950x,0.42719451049196067
amd ryzen 9 5980hs,0.5236582130019566
intel core i9-11950h,0.5262300397744484
amd ryzen 7 3700x,0.4608457614049828
intel core i9-9900ks,0.4810329711186102
intel core i7-11850h,0.5286924334229687
amd ryzen 5 5600x,0.549427502204007
intel core i7-11800h,0.513957951005209
intel core i7-10700,0.4294474309432208
amd ryzen 9 4900h,0.4287788222283579
amd ryzen 9 4900hs,0.422455022723527
intel core i9-10885h,0.43622819049568823
amd ryzen 7 5800u,0.4680123745313514
amd ryzen 7 4800h,0.41657787622834985
intel core i9-9980hk,0.4391814006969407
intel core i7-9700k,0.4318006293255282
amd ryzen 7 4800hs,0.4081510129874636
intel core i9-9880h,0.401225968066313
intel core i7-8700k,0.39560766412713033
intel core i5-11400f,0.4766085697294102
amd ryzen 7 4980u,0.3915181082481062
amd ryzen 7 5700u,0.3917621113721761
intel core i9-8950hk,0.37062806550953287
intel xeon e-2176g,0.40361731242969817
intel core i5-11400h,0.45752997732811723
intel core i7-8700,0.38573577035318457
intel core i9-9900t,0.37845871324359204
intel core i7-9750h,0.3799722369876501
amd ryzen 7 1800x,0.3513672178545782
intel xeon e5-2680 v4,0.234031007751938
intel xeon e5-2697 v2,0.23776055124892334
intel core i7-10750h,0.40641034082546235
intel core i5-10500h,0.3907237147351826
intel core i7-11375h,0.4739743747157457
apple m1,0.48078081945733425
intel core i7-11370h,0.4619683329975823
intel core i7-7740x,0.3861766378909264
intel core i5-8600k,0.3495348837209302
intel core i5-8500,0.33082687338501293
amd ryzen 7 4700u,0.3617183114963181
intel core i7-10810u,0.3588664464837913
intel core i5-8400,0.32573212747631347
amd ryzen 7 1700,0.30850215331610686
amd ryzen 5 5600u,0.4326254097181302
amd ryzen 5 4680u,0.35186219871512614
amd ryzen 5 5500u,0.35889726211754586
amd ryzen 5 pro 4650u,0.34228553877423984
intel core i5-11300h,0.3836294823192086
intel core i3-10320,0.3693153633225557
intel core i7-7700,0.3371317829457364
intel core i7-3960x,0.31750215331610676
