Brand,Model,Product Type,Processor Brand,Processor Model,CPU Cores,Processor Speed (GHz),Processor Max Speed,RAM (GB),RAM Type,Storage Type,Storage Size (GB),Operating System,Screen Size (inches),Screen Definition,Resolution,Graphics Card Type,Camera Resolution (MP),Type,Bluetooth,Ethernet,HDMI,USB,Wireless Ready,Weight (kg),Product Height (cm),Product Width (cm),Product Depth (cm),Price (RM)
Asus,ExpertBook P2451FA (P2451F-AEK0442R),Laptop,Intel,Core i5-10210U,4,1.6,4.2 GHz,8,"DDR4 2666MHz SDRAM, 2 x SO-DIMM socket for expansion",PCIe Gen3 x4 SSD M.2,256,Windows 10 Pro,14,Full HD+,1920 x 1200,Intel UHD Graphics 620,HD 720p CMOS module,"LED-backlit, 60Hz Anti-Glare Panel with 45% NTSC",Bluetooth 5.0,Ethernet (RJ-45) port,1 x HDMI,"1 x USB Type-C (3.2 Gen 2 with Display and Power Delivery Support), 2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",Integrated Wi-Fi 6 (802.11 ax (2x2),1.6,1.99cm,32.53cm,23.29cm,3297
HP,Pavilion (13-bb0065TU),Laptop,Intel,i5-1135G7,4,2.4 GHz,4.2 GHz,8 GB,DDR4-3200 MHz,PCIe® NVMe™ M.2 SSD,512 GB,Windows 10 Home 64,"13.3""", Full HD ,1920 x 1080,Intel® Iris® Xᵉ Graphics,720p,,Bluetooth 5.0,,1 x HDMI 2.0,"1 x USB Type-C, 2 x USB Type-A",Intel Wireless-AC 9560 802.11a/b/g/n/ac (2x2) Wi-Fi,1.24,1.77cm,30.9cm,20.5cm,3599
Huawei,MateBook 13,Laptop,Intel,Intel Core i5-10210U,,,,16,LPDDR3 2133MHz,PCIe SSD,512,Windows 10 Home 64,13,,2160 x 1440,Nvidia GeForce MX250,1,IPS,Bluetooth 5.0,,,2 x USB Type-C, 802.11a/b/g/n/ac,1.3,1.49cm,28.6cm,21.1cm,4397
Microsoft,"Surface Laptop 3 15"" (VGZ-00037)",Surface Laptop,AMD,Ryzen 5 3580U,4,2.1,3.7 GHz,8,DDR4,SSD,256,Windows 10 Home,15,,2496 x 1664,AMD Radeon RX Vega 9,720p HD,PixelSense,Bluetooth 5.0,,,"1 x USB-C, 1 x USB 3.0",Wi-Fi 5: 802.11ac compatible,1.542,24.4cm,33.95cm,1.47cm,5987
Acer,Aspire 5 (A515-56-33DS),Laptop,Intel,i3-1115G4,2,3.0,4.1 GHz,4,DDR4 SDRAM,PCI Express SSD,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,Intel UHD Graphics,HD,,Bluetooth 5.0,Gigabit Ethernet,1 x HDMI,"1 x USB Type-C (3.2 Gen 1), 2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",IEEE 802.11 a/g/n/ac/ax,1.90,0.79cm,36.34cm,23.85cm,2397
Microsoft,Surface Laptop Go (THJ-00018),Laptop,Intel,Core i5-1035G1,4,1.0,3.6 GHz,8,LPDDR4x,SSD,256,Windows 10 Home in S mode,12.4,,1536 x 1024,Intel UHD Graphics G1 (Ice Lake 32 EU),720p HD f2.0 camera (front-facing),PixelSense Display,Bluetooth 5.0,,,"1 x USB Type-C, 1 x USB Type-A",802.11ax Wi-Fi 6,1.11,20.57cm,27.82cm,1.57cm,4288
HP,ENVY 15-ep0010TX,Laptop,Intel,Core i7-10750H,6,2.6,5.0 GHz,16,DDR4-2933 SDRAM (2 x 8 GB) Transfer rates up to 2933 MT/s,PCIe NVMe TLC M.2 SSD,1 TB,Windows 10 Home Single Language 64,15.6, Full HD ,1920 x 1080,NVIDIA GeForce GTX 1660 Ti with Max-Q design,HP Wide Vision HD camera with camera shutter and integrated dual array digital microphone,"multitouch-enabled, IPS, edge-to-edge glass, micro-edge, 400 nits, 100% sRGB",Bluetooth 5.0,,1 x HDMI 2.0a,"2 x USB Type-C (Thunderbolt 3, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed, HP SLeep and Charge), 1 x USB Type-A (SuperSpeed)",Intel Wi-Fi 6 AX201 (2x2),2.14,1.84cm,35.79cm,23.68cm,5999
Microsoft,"Surface Laptop 3 13.5"" (VGZ-00037)",Surface Laptop,Intel,Core i7-1065G7,4,1.3,3.9 GHz,16,LPDDR4x,SSD,256,Windows 10 Home,13.5,,2256 x 1504,Intel Iris Plus Graphics G7 (Ice Lake 64 EU),720p HD,PixelSense,Bluetooth 5.0,,,"1 x USB-C, 1 x USB 3.0",Wi-Fi 6: 802.11ax compatible,1.288,22.3cm,30.8cm,1.45cm,6386
Huawei,D15 i3 (10th Gen),Laptop,Intel,i3-10110U,2,2.10 GHz,4.10 GHz,8 GB,,,256 GB,Windows 10 Home 64,15.6,,1920 x 1080, Intel UHD Graphics 620,1 MP,,Bluetooth 5.0,,1 x HDMI,"1 x USB-C, 1 x USB 3.0, 2 x USB 2.0",WiFi 5,1.53,1.69cm,35.78cm,22.99cm,2097
Acer,Chromebook 311 (C733-C8F7),Notebooks,Intel,Intel® Celeron® N4120,4,,,4,LPDDR4,,32,Chrome OS™,"11.6""", LED backlit HD,1366 x 768,UHD Graphics 600,"720p HD Camera, excellent for Video Conferencing",LCD,,,,4 X USB,IEEE 802.11a/b/g/n/ac,1.25,2.13cm,30.2cm,20.9cm,1349
HP,ProBook 440 G7,Laptop,Intel,Core i5-10210U,4,1.6 GHz,,8,DDR4-2666 SDRAM,SSD,256,Windows 10 Pro,14,,,,720p,WLED-backlit,,,1 x HDMI,1 USB 3.1 Type-C x 2 USB 3.1 Gen 1 (Data transfer only),,1.6,1.8cm,32.42cm,23.77cm,3499
Microsoft,Surface Laptop Studio (ABY-00017),Surface Laptop Studio,,Core i7-11370H,4,3.3,4.8 GHz,32,LPDDR4x,SSD,1 TB,Windows 11 Home,14.4,,2400 x 1600,NVIDIA GeForce RTX 3050Ti,1080p with Windows Hello Authentication,PixelSense Flow Display,Bluetooth 5.1,,,"2 x USB Type-C (USB4, Thunderbolt 4)",Wi-Fi 6 (802.11ax),1.82,1.89cm,32.33cm,22.83cm,11999
Huawei,D14,Laptop,Intel,Core i5-10210U,4,1.6,4.2 GHz,8,DDR4 (2400MHz),NVMe PCIe SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,,1,IPS,Bluetooth 5.0,,1 x HDMI,"1 x USB Type-C, 1 x USB Type-A (3.0), 1 x USB Type-A (2.0)"," IEEE 802.11a/b/g/n/ac, 2.4 GHz/5 GHz, 2 x 2 MIMO",,,,,3399
Microsoft,Surface Laptop Go (THH-00018),Laptop,Intel,Core i5-1035G1,4,1.0,3.6 GHz,8,LPDDR4x,SSD,128,Windows 10 Home in S mode,12.4,,1536 x 1024,Intel UHD Graphics G1 (Ice Lake 32 EU),720p HD f2.0 camera (front-facing),PixelSense Display,Bluetooth 5.0,,,"1 x USB Type-C, 1 x USB Type-A",802.11ax Wi-Fi 6,1.11,20.57cm,27.82cm,1.57cm,3388
MSI,Prestige 14 (A10RBS-255) ,Laptop,Intel,Core i7-10510U,4,1.8,4.8 GHz,16,2666MHz DDR4 16GB,NVMe PCIe SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,Nvidia Geforce MX350,720p,"IPS-Level, 60Hz, 72% NTSC, Thin Bezel, close to 100% sRGB",Bluetooth 5.0,,,"2 x USB Type-C (3.2 Gen 2 with Thunderbolt 3),2 x USB Type-A (2.0)",802.11 ac Wi-Fi ,1.29,1.59cm,31.9cm,21.5cm,3697
Microsoft,"Surface Laptop 3 13.5"" (V4C-00037)",Surface Laptop,Intel,Core i5-1035G7,4,1.2,3.7 GHz,8,LPDDR4x,SSD,256,Windows 10 Home,13.5,,2256 x 1504,Intel Iris Plus Graphics G7 (Ice Lake 64 EU),720p HD,PixelSense,Bluetooth 5.0,,,"1 x USB-C, 1 x USB 3.0",Wi-Fi 6: 802.11ax compatible,1.288,22.3cm,30.8cm,1.45cm,5287
Microsoft,Surface Laptop Go (1ZO-00018),Laptop,Intel,Core i5-1035G1,4,1.0,3.6 GHz,4,LPDDR4x,eMMC,64,Windows 10 Home in S mode,12.4,,1536 x 1024,Intel UHD Graphics G1 (Ice Lake 32 EU),720p HD f2.0 camera (front-facing),PixelSense Display,Bluetooth 5.0,,,"1 x USB Type-C, 1 x USB Type-A",802.11ax Wi-Fi 6,1.11,20.57cm,27.82cm,1.57cm,2758
,Surface Laptop Studio (A1Y-00017),Surface Laptop Studio,Intel,Core i7-11370H,4,3.3,4.8 GHz,16,LPDDR4x,SSD,512,Windows 11 Home,14.4,,2400 x 1600,NVIDIA GeForce RTX 3050 Ti,1080p with Windows Hello Authentication,PixelSense Flow Display,Bluetooth 5.1,,,"2 x USB Type-C (USB4, Thunderbolt 4)",Wi-Fi 6 (802.11ax),1.82,1.89cm,32.33cm,22.83cm,9399
HP,Pavilion 14-DV0072TX,Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4-3200 SDRAM,PCIe NVMe M.2 SSD,512,Windows 10 Home 64,14, Full HD ,1920 x 1080,NVIDIA GeForce MX450,	HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.0,,1 x HDMI 2.0,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Intel Wi-Fi 6 AX201 (2x2),1.41,1.7cm,32.5cm,21.66cm,3499
