brand,model,cpu_brand,cpu,ram,storage,screen_size,gpu,weight,height,width,depth,price
Asus,ExpertBook P2451FA (P2451F-AEK0442R),Intel,Core i5-10210U,8,256,14,Intel UHD Graphics 620,1.6,1.99cm,32.53cm,23.29cm,3297
HP,Pavilion (13-bb0065TU),Intel,i5-1135G7,8 GB,512 GB,"13.3""",Intel® Iris® Xᵉ Graphics,1.24,1.77cm,30.9cm,20.5cm,3599
Huawei,MateBook 13,Intel,Intel Core i5-10210U,16,512,13,Nvidia GeForce MX250,1.3,1.49cm,28.6cm,21.1cm,4397
Microsoft,"Surface Laptop 3 15"" (VGZ-00037)",AMD,Ryzen 5 3580U,8,256,15,AMD Radeon RX Vega 9,1.542,1.47cm,33.95cm,24.4cm,5987
Acer,Aspire 5 (A515-56-33DS),Intel,i3-1115G4,4,512,15.6,Intel UHD Graphics,1.90,0.79cm,36.34cm,23.85cm,2397
Microsoft,Surface Laptop Go (THJ-00018),Intel,Core i5-1035G1,8,256,12.4,Intel UHD Graphics G1 (Ice Lake 32 EU),1.11,1.57cm,27.82cm,20.57cm,4288
HP,ENVY 15-ep0010TX,Intel,Core i7-10750H,16,1 TB,15.6,NVIDIA GeForce GTX 1660 Ti with Max-Q design,2.14,1.84cm,35.79cm,23.68cm,5999
Microsoft,"Surface Laptop 3 13.5"" (VGZ-00037)",Intel,Core i7-1065G7,16,256,13.5,Intel Iris Plus Graphics G7 (Ice Lake 64 EU),1.288,1.45cm,30.8cm,22.3cm,6386
Huawei,D15 i3 (10th Gen),Intel,i3-10110U,8 GB,256 GB,15.6, Intel UHD Graphics 620,1.53,1.69cm,35.78cm,22.99cm,2097
Acer,Chromebook 311 (C733-C8F7),Intel,Intel® Celeron® N4120,4,32,"11.6""",UHD Graphics 600,1.25,2.13cm,30.2cm,20.9cm,1349
HP,ProBook 440 G7,Intel,Core i5-10210U,8,256,14,,1.6,1.8cm,32.42cm,23.77cm,3499
Microsoft,Surface Laptop Studio (ABY-00017),,Core i7-11370H,32,1 TB,14.4,NVIDIA GeForce RTX 3050Ti,1.82,1.89cm,32.33cm,22.83cm,11999
Huawei,D14,Intel,Core i5-10210U,8,512,14,,,,,,3399
Microsoft,Surface Laptop Go (THH-00018),Intel,Core i5-1035G1,8,128,12.4,Intel UHD Graphics G1 (Ice Lake 32 EU),1.11,1.57cm,27.82cm,20.57cm,3388
MSI,Prestige 14 (A10RBS-255) ,Intel,Core i7-10510U,16,512,14,Nvidia Geforce MX350,1.29,1.59cm,31.9cm,21.5cm,3697
