name,mark
AMD Ryzen Threadripper PRO 3995WX,9706
AMD Ryzen 9 5950X,4324
AMD Ryzen Threadripper 2970WX,4376
AMD Ryzen 9 5900X,2984.5
Intel Core i9-9980XE,3735.5
AMD Ryzen Threadripper 2950X,3110
Intel Core i9-12900H,2567
Intel Core i5-12600K,2555
Intel Core i9-11900KB,2027
Intel Core i9-10900K,2533
AMD Ryzen 7 5700G,2234
Intel Core i7-11700K,2299
Apple M1 Max,1693
Intel Core i9-10910,2302
AMD Ryzen Threadripper 2920X,2628
AMD Ryzen 9 6900HS,2204.5
AMD Ryzen Threadripper 1950X,2997
AMD Ryzen 9 5980HS,2083
Intel Core i9-11950H,1954
AMD Ryzen 7 3700X,2092
Intel Core i9-9900KS,2058
Intel Core i7-11850H,1767.5
AMD Ryzen 5 5600X,1968
Intel Core i7-11800H,1943
Intel Core i7-10700,1455
AMD Ryzen 9 4900H,1926.5
AMD Ryzen 9 4900HS,1863
Intel Core i9-10885H,1517
AMD Ryzen 7 5800U,1613
AMD Ryzen 7 4800H,1854
Intel Core i9-9980HK,1624
Intel Core i7-9700K,1449
AMD Ryzen 7 4800HS,1700.65
Intel Core i9-9880H,1508
Intel Core i7-8700K,1362
Intel Core i5-11400F,1574
AMD Ryzen 7 4980U,1658
AMD Ryzen 7 5700U,1478
Intel Core i9-8950HK,1223.5
Intel Xeon E-2276M,1242.5
Intel Xeon W-2145,1682
AMD Ryzen 7 4800U,1568
Intel Core i5-9600K,1094
Intel Core i7-9850H,1230
AMD Ryzen 7 2700,1551
AMD Ryzen 7 1700X,1537
AMD Ryzen 5 4600H,1420
Intel Core i7-10850H,1232
Intel Xeon E-2176M,1095
Intel Core i7-11390H,1041
AMD Ryzen 7 PRO 4750U,1410
Intel Core i7-1195G7,945.5
Intel Core i7-1185G7,886.37
Intel Core i7-8850H,1090
Intel Core i7-7700K,938.5
Intel Core i7-8750H,1116
Intel Core i7-1165G7,850
Intel Core i7-10710U,1059
Intel Core i7-5960X,1387
AMD Ryzen 5 2600X,1341
AMD Ryzen 5 PRO 5650U,1207
AMD Ryzen 5 2600,1248.24
AMD Ryzen 5 4600U,1089
Intel Core i5-11320H,950
Intel Core i5-10400H,796
Intel Core i7-4960X,1076
Intel Core i7-6700K,880
Intel Core i5-1135G7,822.5
AMD Ryzen 5 4500U,892
Intel Core i7-4790K,846
Intel Core i5-9400H,823
Intel Xeon E3-1280 v5,815
Intel Xeon E3-1535M v6,806
Intel Core i7-8709G,791
Intel Core i7-8705G,746
Intel Core i5-9300H,790
Intel Core i5-8400H,770
Intel Core i5-7600K,674
Intel Core i7-5775C,772
Intel Xeon E3-1505M v6,737
AMD Ryzen 5 1500X,805
Intel Core i7-1180G7,549
AMD Ryzen 3 3100,991
Intel Core i3-9100F,634
Intel Core i7-7820HQ,736
Intel Core i7-6920HQ,734.5
Intel Core i7-4930MX,736
AMD Ryzen 5 2400G,846.71
Intel Core i5-8305G,710
Intel Xeon E3-1505M v5,724.5
Intel Core i7-4980HQ,696
Intel Xeon E3-1231 v3,732
Intel Core i7-5850HQ,667
Intel Core i7-4790T,674
Intel Core i7-6820HK,709
Intel Core i7-6770HQ,711
Intel Core i7-1065G7,663
AMD Ryzen 7 3780U,788
Intel Core i5-8259U,615
Intel Core i7-4900MQ,641
Intel Core i7-10510U,681
Intel Core i7-6700HQ,676
Intel Core i7-4870HQ,621
Intel Core i5-1035G7,712
AMD Ryzen 7 3750H,734
AMD Ryzen 7 PRO 3700U,658
Intel Core i5-1035G1,606
Intel Core i7-8650U,605
Intel Core i7-4800MQ,663
