name,mark
AMD Ryzen Threadripper PRO 3995WX,14881
AMD Ryzen 9 5950X,16248
AMD Ryzen Threadripper 2970WX,10501
AMD Ryzen 9 3950X,12363
Intel Core i9-10980XE,16480
Intel Core i7-12700K,15557
Intel Core i9-12900HK,13756.5
AMD Ryzen 9 3900X,10498
Intel Core i9-11900K,10596.5
AMD Ryzen 7 5800X,11354
AMD Ryzen 9 3900,10190
Intel Core i9-10850K,11436
Intel Core i7-12800H,12615.5
Apple M1 Pro,12499
Intel Core i9-11980HK,9813
Intel Core i9-11900H,9645.5
AMD Ryzen 9 5900HX,8251
AMD Ryzen Threadripper 1950X,11237
Apple M1 Pro 8-Core,9942
AMD Ryzen 7 3800XT,8948
AMD Ryzen 9 5900HS,7867
Intel Core i7-10700K,8925
Intel Core i9-9900K,8845
Intel Core i5-11600K,8429.5
AMD Ryzen 7 5800H,7687.5
Intel Core i9-7900X,11222
Intel Core i9-10980HK,8155.5
AMD Ryzen 9 4900HS,7675
Intel Core i9-10885H,6914
AMD Ryzen 5 5600H,6505
AMD Ryzen 7 PRO 5850U,6889
Intel Core i7-10875H,7799
Intel Core i7-10870H,7735.5
AMD Ryzen 5 5600G,8003
Intel Core i5-10600K,7248
Intel Core i7-8086K,5485
AMD Ryzen 7 2700X,7021.5
Intel Core i5-10400F,6365
Intel Core i7-6950X,8888
Intel Core i7-9700,7060
Intel Xeon E-2186M,5239
Intel Xeon E-2176G,6271
Intel Core i5-11400H,6747
Intel Core i7-8700,6250
Intel Core i9-9900T,5888
Intel Core i7-9750H,5813
AMD Ryzen 7 1800X,6545
Intel Core i7-1260P,9513
Intel Xeon W-10855M,6231
AMD Ryzen 5 4600HS,6345
Intel Core i5-10500H,6332
Intel Core i7-11375H,6098
Apple M1,7578
Intel Core i7-11370H,5562
Intel Core i7-7740X,5107
Intel Core i7-8750H,4820
Intel Core i7-1165G7,5186.5
Intel Core i7-10710U,5207
Intel Core i5-1155G7,5654
AMD Ryzen 5 PRO 5650U,5736
AMD Ryzen 5 2600,6069.5
AMD Ryzen 5 4600U,5591
Intel Core i5-11320H,5657
Intel Core i5-10400H,4332
Intel Core i5-1145G7,5055
Intel Core i5-10300H,4399
AMD Ryzen 5 1600,5424.5
Intel Core i5-1038NG7,4564
Intel Core i7-1068G7,4449
Intel Core i7-8559U,3660
Intel Xeon E3-1575M v5,4075
AMD Ryzen 3 3300X,5311
Intel Core i5-9400F,5715
AMD Ryzen 3 PRO 4450U,3657
Intel Core i3-10100F,3650
AMD Ryzen 5 2400G,3885
Intel Core i7-8557U,4119
Intel Core i7-1160G7,4917
AMD Ryzen 7 3780U,3050
Intel Core i5-8259U,3359
Intel Core i7-10610U,4123.5
AMD Ryzen 3 1300X,5210
Intel Core i5-1035G4,3986
AMD Ryzen 7 PRO 3700U,3018
Intel Core i5-1035G1,3858
Intel Core i5-10210U,3689
Intel Core i7-1060NG7,2940
Intel Core i7-4722HQ,2701
Intel Core i5-8265U,3568
AMD Ryzen 5 3550H,3325.5
AMD Ryzen 7 PRO 2700U,3183
AMD Ryzen 3 2200G,4881.5
AMD Ryzen 5 PRO 3500U,2824
AMD Ryzen 3 4300U,3330
AMD Ryzen 5 3450U,2972
AMD Ryzen 5 2600H,3226
Intel Core i3-1115G4,2505.5
Intel Core i3-10110U,2025.5
Intel Core i5-3470,2095
Intel Core i5-8250U,3427
AMD Ryzen 5 PRO 2500U,3135
Intel Core i5-7287U,2193
Apple A12Z Bionic,4709.5
Apple A14 Bionic,4160
Microsoft SQ1,2875
Qualcomm Snapdragon 888 Plus 5G,3644
Qualcomm Snapdragon 888 4G,3143
Apple A13 Bionic,3378.5
Intel Core i7-6567U,2117
AMD Ryzen 3 3300U,2578
AMD Ryzen 3 2300U,2360
Intel Core i5-7260U,2064
Intel Core i5-6287U,1988.5
Intel Core i7-10510Y,2728
Intel Core i5-L16G7,1633.5
Qualcomm Snapdragon 870 5G,3215
Qualcomm Snapdragon 865,3309
Intel Core i3-10110Y,1633
Intel Core i3-10100Y,1889
AMD Ryzen 3 3250U,1753
AMD Ryzen 3 3200U,1651.5
AMD Athlon Gold 3150U,1847
Intel Core i5-5250U,1427
AMD Athlon 300U,1840
Apple A12 Bionic,2814.5
Google Tensor,2873
HiSilicon Kirin 990,2977.5
Qualcomm Snapdragon 860,2712.5
Qualcomm Snapdragon 7c,1725
Qualcomm Snapdragon 855,2694
Apple A10X Fusion,2324
MediaTek Dimensity 900,2171.5
Intel Core m3-7Y32,1576
Intel Pentium Gold 5405U,1255
Intel Celeron 5205U,912
Intel Pentium Silver N6005,1625.5
Intel Celeron N5100,1788
Intel Celeron J4125,1447.5
AMD A10-5750M,1326
AMD A8-5550M,1073
AMD 3020e,1188
Samsung Exynos 9825,2331
HiSilicon Kirin 820,2434
MediaTek Dimensity 800,2143
HiSilicon Kirin 980,2558
Qualcomm Snapdragon 850,1923
Qualcomm Snapdragon 765G,1810
Qualcomm Snapdragon 750G 5G,1885
AMD 3015Ce,1135
Qualcomm Snapdragon 690 5G,1794.5
Qualcomm Snapdragon 732G,1787
MediaTek Dimensity 700,1708.5
Qualcomm Snapdragon 720G,1694
Mediatek Helio G90T,1593
Qualcomm Snapdragon 480 5G,1663
Mediatek Helio P90,1524
Qualcomm Snapdragon 680 4G,1557
UNISOC Tangula T740,1727
Intel Celeron J4115,1420.5
Apple A10 Fusion,1421
Intel Celeron N4500,885
Intel Celeron N4000,801.5
AMD A6-5200,831.5
Mediatek Helio P70,1443
AMD A4-5150M,633
Qualcomm Snapdragon 670,1343
Qualcomm Snapdragon 662,1389
UNISOC T618,1309
UNISOC T610,1330
UNISOC Tangula T700,1342
