name,mark
AMD Ryzen Threadripper PRO 3995WX,1720
AMD Ryzen 9 5950X,1651.5
AMD Ryzen Threadripper 2970WX,1095
AMD Ryzen 9 3950X,1306
Intel Core i9-10980XE,1260
Intel Core i7-12700K,1890
Intel Core i9-12900HK,1878.5
AMD Ryzen 9 3900X,1250
Intel Core i9-11900K,1787.5
AMD Ryzen 7 5800X,1665
AMD Ryzen 9 3900,1246
Intel Core i9-10850K,1401
Intel Core i7-12800H,1748.5
Apple M1 Pro,1768
Intel Core i9-11980HK,1627
Intel Core i9-11900H,1628
AMD Ryzen 9 5900HX,1537
AMD Ryzen Threadripper 1950X,1029
Apple M1 Pro 8-Core,1769
AMD Ryzen 7 3800XT,1353
AMD Ryzen 9 5900HS,1497
Intel Core i7-10700K,1373.5
Intel Core i9-9900K,1300
Intel Core i5-11600K,1723
AMD Ryzen 7 5800H,1463
Intel Core i9-7900X,1172
Intel Core i9-10980HK,1347.5
AMD Ryzen 9 4900HS,1218
Intel Core i9-10885H,1317
AMD Ryzen 5 5600H,1417
AMD Ryzen 7 PRO 5850U,1436
Intel Core i7-10875H,1300
Intel Core i7-10870H,1282.5
AMD Ryzen 5 5600G,1506
Intel Core i5-10600K,1286
Intel Core i7-8086K,1240
AMD Ryzen 7 2700X,1177
Intel Core i5-10400F,1220
Intel Core i7-6950X,957
Intel Core i7-9700,1312
Intel Xeon E-2186M,1248
Intel Xeon E-2176G,1225
Intel Core i5-11400H,1521
Intel Core i7-8700,1170
Intel Core i9-9900T,1206
Intel Core i7-9750H,1204
AMD Ryzen 7 1800X,1023
Intel Core i7-1260P,1714
Intel Xeon W-10855M,1296
AMD Ryzen 5 4600HS,1100
Intel Core i5-10500H,1214
Intel Core i7-11375H,1648
Apple M1,1730
Intel Core i7-11370H,1562
Intel Core i7-7740X,1268
Intel Core i7-8750H,1050
Intel Core i7-1165G7,1535
Intel Core i7-10710U,1227
Intel Core i5-1155G7,1473
AMD Ryzen 5 PRO 5650U,1353
AMD Ryzen 5 2600,1118.5
AMD Ryzen 5 4600U,1105
Intel Core i5-11320H,1453
Intel Core i5-10400H,1245
Intel Core i5-1145G7,1430
Intel Core i5-10300H,1205
AMD Ryzen 5 1600,950
Intel Core i5-1038NG7,1265
Intel Core i7-1068G7,1173
Intel Core i7-8559U,723
Intel Xeon E3-1575M v5,953
AMD Ryzen 3 3300X,1296
Intel Core i5-9400F,1139
AMD Ryzen 3 PRO 4450U,1033
Intel Core i3-10100F,1072
AMD Ryzen 5 2400G,1001
Intel Core i7-8557U,1079
Intel Core i7-1160G7,1437
AMD Ryzen 7 3780U,940
Intel Core i5-8259U,984
Intel Core i7-10610U,1243.5
AMD Ryzen 3 1300X,920
Intel Core i5-1035G4,1235
AMD Ryzen 7 PRO 3700U,808
Intel Core i5-1035G1,1219
Intel Core i5-10210U,1079
Intel Core i7-1060NG7,1153
Intel Core i7-4722HQ,750
Intel Core i5-8265U,1043
AMD Ryzen 5 3550H,895.5
AMD Ryzen 7 PRO 2700U,882
AMD Ryzen 3 2200G,1086.5
AMD Ryzen 5 PRO 3500U,863
AMD Ryzen 3 4300U,1027
AMD Ryzen 5 3450U,839
AMD Ryzen 5 2600H,812
Intel Core i3-1115G4,1311.5
Intel Core i3-10110U,987
Intel Core i5-3470,675
Intel Core i5-8250U,925
AMD Ryzen 5 PRO 2500U,887
Intel Core i5-7287U,898.5
Apple A12Z Bionic,1122
Apple A14 Bionic,1593
Microsoft SQ1,739
Qualcomm Snapdragon 888 Plus 5G,1156
Qualcomm Snapdragon 888 4G,1104
Apple A13 Bionic,1332
Intel Core i7-6567U,970
AMD Ryzen 3 3300U,824
AMD Ryzen 3 2300U,783
Intel Core i5-7260U,920
Intel Core i5-6287U,882
Intel Core i7-10510Y,1005
Intel Core i5-L16G7,826.5
Qualcomm Snapdragon 870 5G,998
Qualcomm Snapdragon 865,910
Intel Core i3-10110Y,996
Intel Core i3-10100Y,986
AMD Ryzen 3 3250U,767.5
AMD Ryzen 3 3200U,796.5
AMD Athlon Gold 3150U,751
Intel Core i5-5250U,691
AMD Athlon 300U,867
Apple A12 Bionic,1117.5
Google Tensor,1049
HiSilicon Kirin 990,770
Qualcomm Snapdragon 860,756
Qualcomm Snapdragon 7c,620
Qualcomm Snapdragon 855,744
Apple A10X Fusion,850
MediaTek Dimensity 900,726.5
Intel Core m3-7Y32,773
Intel Pentium Gold 5405U,570
Intel Celeron 5205U,480
Intel Pentium Silver N6005,650.5
Intel Celeron N5100,631
Intel Celeron J4125,458.5
AMD A10-5750M,493
AMD A8-5550M,395
AMD 3020e,638
Samsung Exynos 9825,834
HiSilicon Kirin 820,642
MediaTek Dimensity 800,523
HiSilicon Kirin 980,707
Qualcomm Snapdragon 850,488
Qualcomm Snapdragon 765G,606
Qualcomm Snapdragon 750G 5G,656
AMD 3015Ce,564
Qualcomm Snapdragon 690 5G,600
Qualcomm Snapdragon 732G,565
MediaTek Dimensity 700,562.5
Qualcomm Snapdragon 720G,567
Mediatek Helio G90T,503
Qualcomm Snapdragon 480 5G,510
Mediatek Helio P90,408
Qualcomm Snapdragon 680 4G,374
UNISOC Tangula T740,367
Intel Celeron J4115,399
Apple A10 Fusion,777
Intel Celeron N4500,499.5
Intel Celeron N4000,433.5
AMD A6-5200,248
Mediatek Helio P70,295
AMD A4-5150M,454
Qualcomm Snapdragon 670,349
Qualcomm Snapdragon 662,314
UNISOC T618,384
UNISOC T610,351
UNISOC Tangula T700,351.5
Mediatek Helio G85,353.5
Mediatek Helio G70,387.5
HiSilicon Kirin 710A,297
Mediatek Helio P60,293.5
Apple A9,531
Intel Celeron N3350,320
Mediatek Helio P25,177
Mediatek MT8768,152
Mediatek Helio G25,141
Samsung Exynos 7904,239
Qualcomm Snapdragon 460,254
Mediatek Helio P23 MT6763V,150
Mediatek Helio P35 MT6765,168.5
Mediatek Helio P22 MT6762,137
MediaTek MT8168,144
Intel Core 2 Duo SU7300,207
Mediatek Helio A22 MT6761,134
Mediatek Helio A20 MT6761D,143.5
AMD E1-2100,125
AMD Ryzen Threadripper PRO 3975WX,1285
Intel Core i9-12900K,2005.5
Intel Core i9-12900,1656
AMD Ryzen 9 5900X,1597
Intel Core i9-9980XE,1200
AMD Ryzen Threadripper 2950X,1100
Intel Core i9-12900H,1865
Intel Core i5-12600K,1904
Intel Core i9-11900KB,1656
Intel Core i9-10900K,1428
AMD Ryzen 7 5700G,1598
Intel Core i7-11700K,1765.5
Apple M1 Max,1773
Intel Core i9-10910,1381
AMD Ryzen Threadripper 2920X,1074
AMD Ryzen 9 6900HS,1547
Intel Core i7-12700H,1758.5
AMD Ryzen 9 5980HS,1537
Intel Core i9-11950H,1631
AMD Ryzen 7 3700X,1304
Intel Core i9-9900KS,1372
Intel Core i7-11850H,1672.5
AMD Ryzen 5 5600X,1657
Intel Core i7-11800H,1572
Intel Core i7-10700,1299
AMD Ryzen 9 4900H,1231.5
AMD Ryzen 7 5800HS,1380
Intel Xeon W-10885M,1340
Intel Core i7-1280P,1591
AMD Ryzen 7 5800U,1428.5
AMD Ryzen 7 4800H,1191
Intel Core i9-9980HK,1346
Intel Core i7-9700K,1300
AMD Ryzen 7 4800HS,1190.5
Intel Core i9-9880H,1176
Intel Core i7-8700K,1210
Intel Core i5-11400F,1575
AMD Ryzen 7 4980U,1133
AMD Ryzen 7 5700U,1188
Intel Core i9-8950HK,1097
Intel Xeon E-2276M,1303
Intel Xeon W-2145,1192
AMD Ryzen 7 4800U,1156.5
Intel Core i5-9600K,1217
Intel Core i7-9850H,1150
AMD Ryzen 7 2700,1000
AMD Ryzen 7 1700X,932
AMD Ryzen 5 4600H,1116.5
Intel Core i7-10850H,1305
Intel Core i7-10750H,1270
Intel Core i7-11390H,1619.5
AMD Ryzen 7 PRO 4750U,1149
Intel Core i7-1195G7,1534.5
Intel Core i7-1185G7,1533
Intel Core i7-8850H,1121
AMD Ryzen 7 4700U,1131
Intel Core i7-10810U,1240.5
AMD Ryzen 5 2600X,1144.5
AMD Ryzen 5 5600U,1360
AMD Ryzen 5 4680U,1078
AMD Ryzen 5 5500U,1112
AMD Ryzen 5 PRO 4650U,1071
Intel Core i5-11300H,1430
Intel Core i3-10320,1217
Intel Core i5-1135G7,1384
AMD Ryzen 5 4500U,1097
Intel Core i5-10200H,1093
Intel Core i7-8705G,1059
Intel Core i5-9300HF,1090
Intel Core i5-8300H,990
AMD Ryzen 5 1500X,918.5
Intel Core i7-1180G7,1525
AMD Ryzen 3 3100,1135
Intel Core i3-10100,1187.5
Intel Core i3-9100F,1152
Intel Core i7-7700HQ,1004
Intel Core i7-1065G7,1316
Apple A15 Bionic,1741
AMD Ryzen 5 1400,831
Intel Core i5-8257U,948
Intel Core i7-10510U,1212
Intel Core i5-1035G7,1163
AMD Ryzen 7 3750H,874
Intel Core i5-10310U,1122
Intel Core i7-8665U,1039
Intel Core i7-8565U,1135.5
Intel Core i7-1060G7,1167
AMD Ryzen 3 5400U,1170
Intel Core i5-1140G7,1353
AMD Ryzen 7 2700U,813
AMD Ryzen 3 5300U,1060
AMD Ryzen 5 3500U,898.5
Intel Core i5-1130G7,1321.5
AMD Ryzen 5 3580U,900
Qualcomm Snapdragon 8cx Gen 2 5G,797
Intel Core i5-1030NG7,1088.5
Intel Core i3-1005G1,1159.5
Intel Core i7-2860QM,732.5
AMD Ryzen 3 1200,834
AMD Ryzen 5 2500U,831
AMD Ryzen Embedded V1605B,819
MediaTek Dimensity 9000,1260.5
Apple A12X Bionic,1120
Qualcomm Snapdragon 8 Gen 1,1237
Qualcomm Snapdragon 8cx,700
Qualcomm Snapdragon 888 5G,1126.5
Samsung Exynos 2200,1149.5
Intel Core i7-2675QM,536
AMD Ryzen 3 3350U,864
Intel Pentium Gold 7505,1093
AMD Ryzen 3 PRO 2300U,727
Intel Core i3-1000NG4,1096
Intel Core i5-4258U,724
Intel Core i5-10210Y,738
Samsung Exynos 2100 5G,1100
Qualcomm Snapdragon 865+ (Plus),980
MediaTek Dimensity 1200,833
Intel Core i5-8200Y,900
Intel Core i3-L13G4,816
AMD Ryzen Embedded R1606G,877
AMD Ryzen 3 2200U,667
AMD Ryzen Embedded R1505G,612
Intel Pentium Gold 6405U,595
AMD Athlon Silver 3050U,743
Qualcomm Snapdragon 780G 5G,809
HiSilicon Kirin 990 5G,772.5
Samsung Exynos 990,940
Qualcomm Snapdragon 7c Gen 2,556
Qualcomm Snapdragon 855+ / 855 Plus,751
Apple A11 Bionic,927
MediaTek Dimensity 1000+,796
MediaTek Dimensity 920,775.5
MediaTek Dimensity 820,652
Intel Core m3-8100Y,845.5
AMD FX-7600P,487
Intel Core i3-5005U,531
Intel Pentium Silver N6000,730
Intel Pentium Silver N5030,512
Intel Pentium Silver N5000,421
AMD A10-4600M,446
AMD Athlon Silver 3050e,594.5
Intel Celeron 3867U,434
Samsung Exynos 9820,825
MediaTek Dimensity 810,598
HiSilicon Kirin 810,598
Qualcomm Snapdragon 695 5G,697
Qualcomm Snapdragon 845,466
Qualcomm Snapdragon 765,592.5
AMD 3015e,464
Intel Celeron N4120,439
MediaTek Dimensity 800U,599
Qualcomm Snapdragon 730G,547
Qualcomm Snapdragon 730,545
Mediatek Helio G95,509
Qualcomm Snapdragon 480 Plus 5G,540
MediaTek Dimensity 720,511
Intel Pentium N4200,345
Qualcomm Snapdragon 675,486
Qualcomm Snapdragon 835 (8998),386
Samsung Exynos 9611,347.5
Intel Celeron N4100,405
Intel Celeron N4505,660
Intel Celeron N4020,475
Intel Atom x7-Z8750,233
Mediatek Helio P65,354
Qualcomm Snapdragon 710,393
Qualcomm Snapdragon 665,310.5
Qualcomm Snapdragon 660,330.5
UNISOC T616,380
UNISOC T606,311.5
Mediatek Helio G88,365
Mediatek Helio G80,370
HiSilicon Kirin 710,330.5
Mediatek Helio P60T,263
Mediatek MT8183,301.5
Samsung Exynos 850,180
AMD A4-5000,193
Mediatek Helio G35,166.5
Apple A8,328
Mediatek Helio A25,138.5
Qualcomm Snapdragon 632,271
UNISOC SC9863A,145
Qualcomm Snapdragon 439,176
Mediatek Helio P22T MT8768T,172
Apple A7,276
Qualcomm Snapdragon 450,131
Qualcomm Snapdragon 429,168
Mediatek MT8766B,133
Mediatek MT6737,58
Mediatek MT6580M,63
