name,mark
NVIDIA GeForce RTX 3080 Ti Laptop GPU,28601
NVIDIA GeForce RTX 3070 Ti Laptop GPU,28268
AMD Radeon RX 6800M,34596
NVIDIA GeForce RTX 3070 Laptop GPU,25477.5
AMD Radeon RX 6700M,27924
NVIDIA GeForce GTX 1080 SLI (Laptop),39901.5
NVIDIA Quadro RTX 5000 (Laptop),23034.5
NVIDIA GeForce RTX 3060 Laptop GPU,20312
NVIDIA GeForce RTX 2080 Super Max-Q,21902.5
NVIDIA GeForce RTX 2080 Max-Q,20703
NVIDIA GeForce GTX 1080 Mobile,21394
AMD Radeon RX 6600M,24460
NVIDIA Quadro RTX 4000 Max-Q,17049
NVIDIA GeForce GTX 980 SLI (Laptop),25453
NVIDIA Quadro RTX 3000 (Laptop),14841.5
NVIDIA Quadro RTX 3000 Max-Q,13617
NVIDIA GeForce GTX 1070 Mobile,17236.5
NVIDIA RTX A2000 Laptop GPU,13298.5
NVIDIA Quadro P5000,14666
NVIDIA GeForce RTX 3050 Ti Laptop GPU,13350.5
NVIDIA GeForce GTX 1660 Ti Max-Q,13355
NVIDIA GeForce RTX 3050 Laptop GPU,12673.5
NVIDIA GeForce GTX 970M SLI,14759.5
NVIDIA GeForce GTX 1060 Mobile,11558
AMD Radeon RX 5500M,12276
NVIDIA Quadro P4000 Max-Q,12312
AMD Radeon RX 580 (Laptop),11261
NVIDIA Quadro P3000,9255.5
NVIDIA GeForce GTX 1060 Max-Q,10430
NVIDIA Quadro T2000 Max-Q,8261.5
NVIDIA GeForce GTX 1650 Max-Q,7779
NVIDIA Quadro T1000 (Laptop),8727
NVIDIA T500 Laptop GPU,4224.5
NVIDIA GeForce GTX 780M SLI,10091
AMD Radeon R9 M290X Crossfire,10551
NVIDIA GeForce GTX 980M,9682
NVIDIA Quadro M5000M,9227.5
NVIDIA GeForce GTX 1050 Ti Mobile,7740.5
NVIDIA Quadro P2000 Max-Q,6742
NVIDIA GeForce GTX 970M,7463
NVIDIA GeForce MX450,4689
AMD Radeon R9 M395X,7921
AMD Radeon Pro Vega 16,7745
AMD Radeon Pro WX Vega M GL,7333
NVIDIA Quadro M3000M,6536.5
AMD FirePro W7170M,6935
NVIDIA GeForce GTX 880M,6101
NVIDIA GeForce GTX 780M,5244
NVIDIA GeForce GTX 965M,5536
AMD Radeon RX 560 (Laptop),5738
NVIDIA GeForce GTX 870M,4694
AMD Radeon HD 8970M,5038.5
AMD Radeon RX 460 (Laptop),5107.5
NVIDIA Quadro P1000,4787
AMD FirePro M6100,3837
AMD Radeon Pro 560X,5699
AMD Radeon Pro 460,4584
NVIDIA GeForce MX350,4371
NVIDIA Quadro M1200,4141.5
AMD Radeon RX 550X (Laptop),3688
AMD Radeon RX 640,3498.5
AMD Radeon Pro 555,3721
NVIDIA Quadro P600,4083
NVIDIA GeForce MX330,3762
Intel Iris Xe Graphics G7 80EUs,3387
NVIDIA Quadro K5000M,2797.5
NVIDIA GeForce GTX 770M,3347
AMD Radeon Pro WX 3100,2671
NVIDIA GeForce GT 755M SLI,4106
NVIDIA GeForce GT 750M SLI,3703
AMD Radeon Pro 450,3252
AMD Radeon R9 M385X,3404.5
NVIDIA GeForce GTX 850M,3085.5
NVIDIA Quadro M620,3130
AMD Radeon R9 M280X,3498
NVIDIA GeForce GTX 765M,2479
NVIDIA Quadro P500,2254.5
AMD Radeon RX Vega 10,2149.5
NVIDIA GeForce GTX 675M,2331
NVIDIA Quadro K3100M,2797
AMD Radeon R9 M370X,2419
NVIDIA GeForce GTX 760M,2271
NVIDIA GeForce GTX 670M,1950
NVIDIA Maxwell GPU Surface Book,2075.5
AMD Radeon HD 8870M,2168.5
Intel UHD Graphics Xe 32EUs (Tiger Lake-H),2576.5
AMD FirePro M5100,2327.5
NVIDIA GeForce MX230,2467.5
NVIDIA Quadro K2100M,1606
NVIDIA GeForce GTX 660M,1751
AMD Radeon HD 8850M,1845
AMD Radeon R7 M465,1740
AMD FirePro W4170M,1766
Intel Iris Pro Graphics 6200,1736.5
NVIDIA GeForce 940MX,1996
NVIDIA Quadro K1100M,1340.5
AMD Radeon RX Vega 7,3343
Intel Iris Plus Graphics G4 (Ice Lake 48 EU),2124
NVIDIA Quadro M600M,2430
AMD Radeon R9 M375,1667
AMD Radeon R7 M445,1579
NVIDIA GeForce GT 650M,1420
NVIDIA Quadro M500M,1594.5
AMD Radeon R7 M275DX,1931.5
Intel Iris Pro Graphics 5200,1380.5
Intel Iris Plus Graphics 650,1698
Intel Iris Graphics 550,1638
AMD Radeon RX Vega 6 (Ryzen 4000/5000),2802
NVIDIA GeForce 830M,1386.5
Intel Iris Plus Graphics 640,1393.5
Intel Iris Graphics 540,1448
NVIDIA GeForce GT 735M,1023.5
AMD FirePro M4000,1713
AMD Radeon HD 8550G + HD 8750M Dual Graphics,1303
NVIDIA GeForce GT 645M,1151.5
AMD Radeon HD 8750M,1276.5
AMD Radeon R7 M265,1336
NVIDIA GeForce GT 640M,1225
AMD Radeon R7 (Kaveri),851
AMD Radeon R7 M460,1177
NVIDIA GeForce 920M,1161.5
AMD Radeon R8 M445DX,2209
AMD Radeon R7 M440,1197.5
AMD Radeon R7 M340,1208.5
AMD Radeon R6 M340DX,1472
AMD Radeon RX Vega 5,2438
Intel UHD Graphics 630,1211
Intel HD Graphics 630,1067
Intel HD Graphics 530,935
Intel UHD Graphics 620,1166
AMD Radeon R6 (Carrizo),909
AMD Radeon HD 8650M,1050
Intel HD Graphics 5600,991
AMD Radeon HD 8650G + HD 8570M Dual Graphics,861
AMD Radeon HD 8550G + HD 8670M Dual Graphics,910.5
AMD Radeon R6 M255DX,1114.5
AMD Radeon HD 7640G + HD 7670M Dual Graphics,623
AMD Radeon HD 7670M,824
AMD Radeon R5 M335,911
AMD Radeon R5 M430,1004
AMD Radeon RX Vega 3,1162
NVIDIA GeForce 820M,897
Intel Iris Graphics 6100,874
AMD Radeon R5 M240,949
AMD Radeon R5 M315,920
AMD Radeon HD 8450G + Radeon HD 8570M Dual Graphics,515
Intel HD Graphics 6000,951
Intel Iris Graphics 5100,878.5
Intel HD Graphics 5500,663
Intel UHD Graphics (Jasper Lake 32 EU),1016
Intel UHD Graphics 617,997
Intel HD Graphics 615,853
NVIDIA GeForce 710M,768.5
AMD Radeon HD 7570M,569
AMD Radeon HD 8550G,792
AMD Radeon HD 7640G + HD 7610M Dual Graphics,663
AMD Radeon HD 7620G,716
Intel UHD Graphics 610,634
Intel HD Graphics 4400,569
Intel HD Graphics 510,621
AMD Radeon HD 7550M,569
Intel UHD Graphics 605,454
Intel HD Graphics 5300,439
AMD Radeon R4 (Stoney Ridge),583
AMD Radeon R4 (Beema),497
AMD Radeon R3 (Mullins/Beema),419.5
Intel HD Graphics (Broadwell),463
AMD Radeon HD 7500G,512
AMD Radeon HD 8400,401
AMD Radeon HD 8330,351
Intel HD Graphics 500,362.5
Intel HD Graphics (Braswell),261
AMD Radeon HD 7420G,343
AMD Radeon HD 7400G,327
AMD Radeon HD 8280,328
AMD Radeon HD 8250,253.5
AMD Radeon HD 8210,227
Intel HD Graphics (Ivy Bridge),285.5
AMD Radeon HD 7340,224
AMD Radeon HD 8180,145
NVIDIA GeForce RTX 3080 Laptop GPU,27316.5
NVIDIA RTX A5000 Laptop GPU,27271
NVIDIA GeForce RTX 2080 Super Mobile,24960
AMD Radeon RX 6800S,27397
NVIDIA GeForce RTX 2080 Mobile,25436
NVIDIA GeForce GTX 1070 SLI (Laptop),32969
NVIDIA RTX A3000 Laptop GPU,18725.5
NVIDIA GeForce RTX 2070 Super Mobile,22016
NVIDIA Quadro RTX 5000 Max-Q,19790
NVIDIA GeForce RTX 2070 Mobile,20392
NVIDIA Quadro RTX 4000 (Laptop),18849
NVIDIA GeForce RTX 2070 Super Max-Q,20872.5
NVIDIA GeForce RTX 2070 Max-Q,17335
NVIDIA Quadro P5200,18467
NVIDIA GeForce RTX 2060 Mobile,16331
NVIDIA GeForce GTX 1080 Max-Q,18191.5
NVIDIA GeForce RTX 2060 Max-Q,14909.5
AMD Radeon RX 5600M,17652.5
NVIDIA GeForce GTX 1660 Ti Mobile,14818
NVIDIA GeForce GTX 1070 Max-Q,14678.5
NVIDIA GeForce GTX 980M SLI,18632
NVIDIA GeForce GTX 980 (Laptop),13047
NVIDIA Quadro P4000,12259
NVIDIA GeForce GTX 1650 Ti Mobile,9881.5
AMD Radeon Pro 5500M,10399
NVIDIA Quadro P3200,12554.5
AMD Radeon RX 5300M,10306
NVIDIA GeForce GTX 1650 Mobile,9313
NVIDIA GeForce GTX 1650 Ti Max-Q,8564
AMD Radeon RX 470 (Laptop),10715
NVIDIA T1200 Laptop GPU,10200
Intel Arc A350M,7318
NVIDIA GeForce GTX 880M SLI,11817
NVIDIA GeForce GTX 965M SLI,10207
AMD Radeon HD 8970M Crossfire,10354
AMD Radeon RX Vega M GH,10248
AMD Radeon Pro Vega 20,9043.5
NVIDIA Quadro P2000,6847
NVIDIA Quadro M4000M,7723
AMD Radeon 680M,6848
NVIDIA GeForce GTX 860M SLI,5941
NVIDIA GeForce GTX 1050 Ti Max-Q,7324
AMD Radeon RX Vega M GL / 870,7329
AMD Radeon R9 M295X,6590.5
NVIDIA GeForce GTX 1050 Mobile,6066
AMD Radeon R9 M395,6819
NVIDIA GeForce GTX 1050 Max-Q,5649.5
NVIDIA Quadro K5100M,4793
AMD Radeon RX 560X (Laptop),6329
NVIDIA Quadro M2200,5850
AMD Radeon R9 M290X,5294
NVIDIA GeForce GTX 765M SLI,5073
NVIDIA GeForce GTX 680M,4049
Intel Iris Xe MAX Graphics,6333
AMD Radeon HD 7970M,4694
AMD Radeon Pro 560,3892
Intel Iris Xe Graphics G7 96EUs,5111.5
NVIDIA GeForce GTX 960M,4318
NVIDIA Quadro P620,4672.5
AMD Radeon RX 550 (Laptop),3645
AMD Radeon Pro WX 3200,3156
AMD Radeon Pro 455,3759
NVIDIA GeForce MX250,3660
NVIDIA GeForce MX150,3488
NVIDIA Quadro M2000M,4157
NVIDIA Quadro K4100M,3654
AMD Radeon RX 540,3686
NVIDIA GeForce GTX 860M,3904
NVIDIA GeForce GTX 675MX,2831
NVIDIA GeForce GTX 950M,3200
AMD Radeon 540X,2779
NVIDIA Quadro P520,3217.5
NVIDIA Quadro M1000M,3497.5
AMD Radeon RX Vega 11,3494
NVIDIA GeForce 945M,2850
NVIDIA Quadro K4000M,2199
Intel Iris Plus Graphics G7 (Ice Lake 64 EU),2743
Intel Iris Pro Graphics 580,1903
AMD Radeon R9 M470,3655
AMD FirePro W5170M,2909
NVIDIA GeForce GTX 670MX,2371
AMD Radeon R9 M275,1885
AMD Radeon RX Vega 9,2789
AMD FirePro W5130M,2110
Intel UHD Graphics Xe G4 48EUs,2250
Intel UHD Graphics Xe 750 32EUs (Rocket Lake),2188
AMD Radeon RX Vega 8 (Ryzen 5000),3797.5
AMD Radeon RX Vega 8 (Ryzen 4000),3623.5
NVIDIA GeForce GT 755M,2105.5
NVIDIA GeForce 845M,2362
AMD Radeon R9 M265X,1997
AMD Radeon HD 8790M,1727
NVIDIA GeForce GT 750M,1574
NVIDIA GeForce MX130,2345
NVIDIA Quadro M520,2342
AMD Radeon RX Vega 8 (Ryzen 2000/3000),2362.5
NVIDIA GeForce 940M,1622
NVIDIA GeForce 930MX,1597
AMD FirePro W4190M,1745
Intel Iris Plus Graphics 655,1914
AMD Radeon R7 M370,1760
NVIDIA Quadro K620M,1621
NVIDIA GeForce 840M,1573
NVIDIA GeForce GT 745M,1531
NVIDIA GeForce GT 740M,1150.5
NVIDIA GeForce 930M,1460.5
AMD Radeon 530,1542
Intel Iris Plus Graphics 645,1893
NVIDIA GeForce MX110,1714
NVIDIA GeForce 920MX,1448
NVIDIA Quadro K2000M,1046
NVIDIA GeForce 825M,1150
AMD Radeon R7 M260X,1396
NVIDIA GeForce GT 730M,1061
AMD FirePro M4100,857
AMD Radeon R7 M270,1258
AMD Radeon R7 (Bristol Ridge),1013
AMD Radeon R7 (Carrizo),1137
AMD Radeon R8 M365DX,1902
AMD Radeon R7 M360,1146
AMD Radeon HD 8690M,1210
AMD Radeon 620,1730
AMD Radeon R7 M260,1067
AMD Radeon 520,1319
AMD Radeon RX Vega 6 (Ryzen 2000/3000),2245
Intel UHD Graphics G1 (Ice Lake 32 EU),1521
Intel UHD Graphics Xe 16EUs (Tiger Lake-H),1368
Intel UHD Graphics G7 (Lakefield GT2 64 EU),1295.5
AMD Radeon R5 (Bristol Ridge),1283.5
Intel HD Graphics 620,934
AMD Radeon R6 (Kaveri),770.5
AMD Radeon HD 8730M,1150
AMD Radeon HD 8650G + HD 8670M Dual Graphics,845
AMD Radeon HD 7660G + HD 7670M Dual Graphics,875
AMD Radeon HD 8670M,829
AMD Radeon HD 8650G,905
AMD Radeon HD 6620G + HD 7670M Dual Graphics,777
NVIDIA GeForce GT 630M,719
AMD Radeon R5 M330,922
AMD Radeon R5 M255,1080.5
NVIDIA GeForce 910M,1022
Intel HD Graphics 520,803.5
NVIDIA GeForce GT 720M,822
AMD Radeon R5 M230,771
AMD Radeon R5 (Stoney Ridge),772
AMD Radeon HD 8570M,790
NVIDIA Quadro K610M,755.5
Intel HD Graphics 4600,635.5
Qualcomm Adreno 630,821
AMD Radeon R5 (Carrizo),1001
Intel UHD Graphics 615,842.5
AMD Radeon R5 (Kaveri),572
Intel HD Graphics 5000,715.5
ATI Mobility Radeon HD 5650,730
NVIDIA GeForce GT 620M,737.5
AMD Radeon HD 7610M,605
Intel HD Graphics 515,691.5
Intel HD Graphics 610,607.5
AMD Radeon HD 8610G,475
NVIDIA NVS 5200M,704
Intel UHD Graphics (Jasper Lake 16 EU),653
Intel HD Graphics 505,408
Intel HD Graphics 4000,480
AMD Radeon R5 (Beema/Carrizo-L),539
AMD Radeon R4 (Kaveri),433.5
AMD Radeon R2 (Stoney Ridge),511.5
Intel HD Graphics 4200,431.5
AMD Radeon HD 8450G,464.5
AMD Radeon HD 8350G,388
Intel UHD Graphics 600,434.5
Intel HD Graphics 405 (Braswell),254.5
Intel HD Graphics 400 (Braswell),218
Intel HD Graphics (Haswell),362.5
AMD Radeon R2 (Mullins/Beema/Carrizo-L),373
AMD Radeon HD 8240,292.5
Intel HD Graphics (Cherry Trail),225
Intel HD Graphics 2500,318
Intel HD Graphics (Bay Trail),149
AMD Radeon HD 7310,192
