name,mark
NVIDIA GeForce RTX 3080 Ti Laptop GPU,662778
NVIDIA GeForce RTX 3070 Ti Laptop GPU,646153
NVIDIA GeForce RTX 3070 Laptop GPU,476448
NVIDIA GeForce GTX 1080 SLI (Laptop),443627
NVIDIA GeForce RTX 3060 Laptop GPU,360476
NVIDIA GeForce RTX 2080 Super Max-Q,468363
NVIDIA GeForce RTX 2080 Max-Q,425550
NVIDIA GeForce GTX 1080 Mobile,409018
AMD Radeon RX 6600M,450349
NVIDIA GeForce RTX 2070 Max-Q,413114
NVIDIA GeForce GTX 1080 Max-Q,387951
NVIDIA GeForce RTX 2060 Max-Q,308872
NVIDIA GeForce GTX 1660 Ti Mobile,419800
NVIDIA GeForce GTX 1070 Max-Q,334256
NVIDIA GeForce RTX 3050 Laptop GPU,474692
NVIDIA GeForce GTX 970M SLI,256573
NVIDIA GeForce GTX 1060 Mobile,298378
AMD Radeon RX 5500M,210925
NVIDIA Quadro P4000 Max-Q,297918
AMD Radeon RX 580 (Laptop),290090
NVIDIA GeForce GTX 1650 Mobile,364872
NVIDIA GeForce GTX 1650 Ti Max-Q,421834
NVIDIA GeForce GTX 1650 Max-Q,373879
NVIDIA GeForce GTX 965M SLI,250259
NVIDIA GeForce GTX 980M,327632
NVIDIA Quadro M5000M,324161
NVIDIA GeForce GTX 1050 Ti Mobile,299188
NVIDIA Quadro P2000 Max-Q,326075
NVIDIA GeForce MX450,335125
AMD Radeon RX Vega M GL / 870,299071
NVIDIA GeForce GTX 880M,268706
NVIDIA Quadro K5100M,2197
AMD Radeon RX 560X (Laptop),189597
AMD Radeon RX 460 (Laptop),96383
AMD Radeon Pro 560X,255217
Intel Iris Xe Graphics G7 96EUs,202304
NVIDIA GeForce GTX 960M,226308
NVIDIA Quadro P620,310112
AMD Radeon RX 550 (Laptop),239256
AMD Radeon Pro 555,217690
NVIDIA Quadro P600,243785
NVIDIA GeForce MX330,243721
Intel Iris Xe Graphics G7 80EUs,159077
AMD Radeon Pro WX 3100,176357
NVIDIA GeForce GTX 950M,198867
NVIDIA Quadro P520,141330
