name,mark
NVIDIA GeForce RTX 3080 Ti Laptop GPU,56429
AMD Radeon RX 6800M,46135
NVIDIA GeForce RTX 3070 Laptop GPU,46211
AMD Radeon RX 6700M,46372
NVIDIA Quadro RTX 5000 (Laptop),45180
NVIDIA GeForce RTX 3060 Laptop GPU,41960.5
NVIDIA Quadro RTX 5000 Max-Q,40509.5
NVIDIA GeForce RTX 2070 Mobile,42409.5
NVIDIA GeForce RTX 2070 Super Max-Q,43406
NVIDIA GeForce GTX 980 SLI (Laptop),35639
NVIDIA Quadro RTX 3000 (Laptop),37304
NVIDIA GeForce GTX 1080 Max-Q,31555
NVIDIA GeForce RTX 2060 Max-Q,37332
NVIDIA RTX A2000 Laptop GPU,36019
NVIDIA GeForce GTX 1660 Ti Mobile,38153.5
NVIDIA GeForce GTX 1660 Ti Max-Q,25211
NVIDIA GeForce RTX 3050 Laptop GPU,39512
NVIDIA GeForce GTX 970M SLI,28182.5
NVIDIA GeForce GTX 1060 Mobile,26152
AMD Radeon RX 5500M,25762.5
NVIDIA Quadro P4000 Max-Q,28211
AMD Radeon RX 580 (Laptop),28909
NVIDIA Quadro P3000,29440
NVIDIA GeForce GTX 1060 Max-Q,34189
NVIDIA Quadro T2000 Max-Q,36376
NVIDIA Quadro T1000 (Laptop),35033.5
NVIDIA GeForce GTX 780M SLI,27957
NVIDIA GeForce GTX 680M SLI,26983.5
NVIDIA GeForce GTX 980M,26811
NVIDIA Quadro M5000M,30962
NVIDIA GeForce GTX 1050 Ti Mobile,27473
NVIDIA Quadro P2000 Max-Q,31482
AMD Radeon 680M,15792
AMD Radeon RX Vega M GL / 870,16707
NVIDIA Quadro M3000M,27320.5
AMD FirePro W7170M,28430
NVIDIA GeForce GTX 1050 Max-Q,19690.5
NVIDIA Quadro K5100M,24910
AMD Radeon RX 560X (Laptop),25527
NVIDIA GeForce GTX 870M,25112
NVIDIA GeForce GTX 765M SLI,25703
NVIDIA Quadro P1000,32223
Intel Iris Xe MAX Graphics,22466
AMD Radeon HD 7970M,22370.5
AMD Radeon Pro 460,27694
NVIDIA GeForce MX350,23907
NVIDIA GeForce GTX 670MX SLI,23606
NVIDIA Quadro P620,35092
AMD Radeon RX 550 (Laptop),23308
AMD Radeon Pro WX 3200,16329
AMD Radeon Pro 455,25873
NVIDIA GeForce MX250,25428.5
Intel Iris Xe Graphics G7 80EUs,23181
NVIDIA Quadro K5000M,24239
NVIDIA GeForce GTX 770M,22486
AMD Radeon Pro WX 3100,18186
NVIDIA GeForce GTX 580M SLI,23040.5
NVIDIA GeForce GT 755M SLI,18996
AMD Radeon HD 6970M Crossfire,23318.5
NVIDIA GeForce GT 750M SLI,17875
AMD Radeon Pro 450,24189
AMD Radeon R9 M385X,14024
NVIDIA GeForce GTX 850M,16135
NVIDIA Quadro M620,24751
AMD Radeon R9 M280X,11618
NVIDIA GeForce GTX 765M,19624
NVIDIA GeForce GTX 480M SLI,20144
NVIDIA Quadro K4000M,20518
AMD Radeon RX Vega 10,14890
NVIDIA GeForce GTX 580M,20550.5
NVIDIA GeForce GT 650M SLI,16841.5
ATI Mobility Radeon HD 5870 Crossfire,16521
NVIDIA GeForce GTX 285M SLI,16608
AMD Radeon R9 M370X,18481
NVIDIA Quadro 5010M,19036
AMD Radeon R9 M275,10378
AMD Radeon RX Vega 9,13365
AMD FirePro W5130M,15680
AMD Radeon HD 6970M,17447
NVIDIA Quadro K3000M,17037.5
Intel UHD Graphics Xe G4 48EUs,11040
AMD FirePro M6000,17152
AMD Radeon RX Vega 8 (Ryzen 5000),27550.5
AMD Radeon RX Vega 8 (Ryzen 4000),22966
NVIDIA GeForce GTX 280M SLI,15000
NVIDIA GeForce GT 755M,15861
AMD Radeon HD 8850M,10281.5
AMD Radeon HD 7850M,14111
AMD FirePro W4170M,13622
NVIDIA Quadro 4000M,17727
NVIDIA GeForce GTX 480M,15066.5
NVIDIA GeForce MX130,18080
NVIDIA Quadro M520,17305
AMD Radeon RX Vega 8 (Ryzen 2000/3000),12213.5
NVIDIA GeForce 940M,11920
NVIDIA GeForce 930MX,12695
AMD FirePro W4190M,12929
Intel Iris Plus Graphics 655,17176
AMD Radeon R7 M370,12983
NVIDIA Quadro K620M,10912
NVIDIA GeForce 840M,10332
NVIDIA GeForce GT 745M,13462.5
Intel Iris Pro Graphics 5200,13123
Intel Iris Plus Graphics 650,15175
Intel Iris Graphics 550,15910
AMD Radeon RX Vega 6 (Ryzen 4000/5000),14700
NVIDIA GeForce MX110,14612
NVIDIA GeForce 920MX,12205.5
NVIDIA Quadro K2000M,11991
NVIDIA GeForce GT 735M,8527
NVIDIA GeForce 825M,9290
AMD FirePro M4000,13930.5
AMD Radeon HD 6870M,14396
AMD Radeon HD 8770M,12680
NVIDIA GeForce GTX 460M,12942
NVIDIA GeForce GT 730M,10333
AMD FirePro M4100,9320
NVIDIA Quadro 3000M,14220.5
AMD Radeon R7 M265,8876
NVIDIA GeForce GTX 285M,12988.5
AMD Radeon R7 (Bristol Ridge),6644.5
AMD Radeon R7 (Carrizo),6528
AMD Radeon R8 M365DX,8708.5
AMD Radeon HD 7730M,9615
NVIDIA GeForce GTX 280M,12551
NVIDIA GeForce 9800M GT SLI,14400
AMD Radeon R8 M445DX,8880.5
NVIDIA GeForce 9800M GTS SLI,14075
NVIDIA GeForce 8800M GTX SLI,11565
NVIDIA Quadro FX 3700M,11000
AMD Radeon R7 M340,8982
AMD Radeon R6 M340DX,5388
AMD Radeon RX Vega 5,15564
Intel UHD Graphics 630,13216.5
Intel HD Graphics 630,12419
AMD Radeon R5 (Bristol Ridge),6816.5
Intel HD Graphics 620,8449
ATI FirePro M7740,12109.5
NVIDIA GeForce GTX 260M,10064
NVIDIA Quadro FX 2800M,11358.5
AMD FirePro M5950,10592
AMD Radeon R6 (Kaveri),5989
AMD Radeon HD 6770M,10056
NVIDIA GeForce GT 555M,10568
AMD Radeon HD 6850M,9336
NVIDIA GeForce 9800M GT,9258
NVIDIA Quadro FX 3600M,8135.5
NVIDIA GeForce GTS 360M,9865
AMD Radeon HD 7690M,9660
AMD Radeon HD 8650G + HD 8570M Dual Graphics,6970
AMD Radeon HD 8550G + HD 8670M Dual Graphics,5229.5
AMD Radeon HD 6750M,9361
NVIDIA GeForce GT 550M,8776
NVIDIA GeForce 9800M GTS,9501.5
AMD Radeon HD 6740G2,6753.5
NVIDIA GeForce 9800M GS,8449.5
AMD Radeon HD 6570M,7553
AMD Radeon HD 7640G + HD 7670M Dual Graphics,8451.5
AMD Radeon HD 7520G + HD 7670M Dual Graphics,7282
NVIDIA GeForce GT 630M,8610
AMD Radeon R5 M330,5972
AMD Radeon R5 M255,8935
NVIDIA Quadro 1000M,8509
NVIDIA GeForce 820M,7518
Intel Iris Graphics 6100,8764
NVIDIA GeForce 8800M GTS,8385
AMD Radeon R5 M230,5145
AMD Radeon HD 6720G2,6186
AMD Radeon HD 8570M,5650
NVIDIA Quadro K610M,8157
Intel Iris Graphics 5100,6928.5
AMD Radeon HD 6650M,7307
ATI Mobility Radeon HD 5730,7265
Intel UHD Graphics (Jasper Lake 32 EU),5745
Intel UHD Graphics 615,6601.5
AMD Radeon R5 (Kaveri),4317
NVIDIA NVS 5400M,9192.5
AMD Radeon HD 7660G,7317
AMD Radeon HD 6680G2,4795
AMD Radeon HD 6550M,7143
NVIDIA GeForce GTS 250M,7484
AMD Radeon HD 7650M,7333
AMD Radeon HD 7570M,5998.5
ATI Mobility Radeon HD 5650,6469
AMD Radeon HD 8550G,7314
NVIDIA GeForce GT 525M,7058.5
AMD Radeon HD 7610M,7100
AMD Radeon HD 7640G,4173
Intel UHD Graphics 610,6026
Intel HD Graphics 4400,5164
Intel HD Graphics 510,7253
AMD Radeon HD 7550M,4932
NVIDIA GeForce GT 425M,6706.5
NVIDIA Quadro FX 2700M,7660
AMD Radeon HD 7500G + HD 7550M Dual Graphics,6404
ATI Mobility Radeon HD 3870,8635.5
ATI Mobility Radeon HD 560v,6224
NVIDIA GeForce Go 7950 GTX SLI,7472
NVIDIA GeForce GT 420M,6148
NVIDIA GeForce GT 330M,6232
NVIDIA Quadro NVS 5100M,6325
Intel UHD Graphics (Jasper Lake 16 EU),6457
Intel HD Graphics 505,4302.5
NVIDIA GeForce Go 7950 GTX,5659
NVIDIA GeForce 8700M GT SLI,8176
NVIDIA GeForce GT 230M,5647
Intel HD Graphics 4000,4412.5
AMD Radeon R4 (Stoney Ridge),4246.5
AMD Radeon R4 (Beema),4046
AMD Radeon R3 (Mullins/Beema),4010
Intel HD Graphics (Broadwell),5077
AMD Radeon HD 6520G + HD 7450M Dual Graphics,4786
AMD Radeon HD 7500G,4810
AMD Radeon HD 8450G,3868
AMD Radeon HD 6490M,5571
NVIDIA GeForce GT 520MX,5296
NVIDIA GeForce GT 325M,5373
NVIDIA GeForce 8600M GT SLI,6614
NVIDIA GeForce GT 130M,4950
NVIDIA GeForce Go 7900 GTX,4503
AMD Radeon HD 8350G,5139
Intel UHD Graphics 600,3960
NVIDIA GeForce 9650M GS,4830
NVIDIA GeForce 8700M GT,4804
NVIDIA Quadro FX 1600M,4915.5
NVIDIA GeForce Go 7900 GS,3519
NVIDIA Quadro FX 1500M,4074
NVIDIA GeForce GT 220M,4010
NVIDIA GeForce GT 120M,5225
AMD Radeon HD 7450M,4346.5
Intel HD Graphics 405 (Braswell),2920
Intel HD Graphics 400 (Braswell),2474
AMD FirePro M3900,4997
AMD Radeon HD 7420G,3751
Intel HD Graphics (Haswell),3357.5
NVIDIA GeForce 320M,4229.5
ATI Mobility Radeon HD 2600 XT,4179
ATI Mobility Radeon X1800,2681
NVIDIA GeForce Go 7800,2200
NVIDIA GeForce 9500M GS,3705.5
AMD Radeon HD 6480G,3497
NVIDIA GeForce GT 415M,4193.5
AMD Radeon R2 (Mullins/Beema/Carrizo-L),3242
ATI Mobility Radeon HD 5470,3683.5
ATI Mobility Radeon HD 3650,3360
ATI Mobility Radeon HD 5145,3661
AMD Radeon HD 8240,2636
Intel HD Graphics (Cherry Trail),2595
NVIDIA Quadro FX 570M,3800
NVIDIA GeForce 8600M GT,3277
Intel HD Graphics 3000,3286.5
NVIDIA GeForce 310M,3206
NVIDIA NVS 3100M,3257
NVIDIA GeForce Go 7600 GT,2833
NVIDIA GeForce 8600M GS,3027.5
NVIDIA GeForce Go 7700,2685.5
NVIDIA Quadro FX Go 1400,1306
ATI Mobility Radeon HD 5430,3082
ATI Mobility Radeon HD 540v,3494
Intel HD Graphics 2500,3816
ATI Mobility Radeon HD 4530,2902
ATI Mobility Radeon HD 530v,2947
ATI Mobility Radeon X1700,2139
ATI Mobility Radeon X2500,2100
ATI Mobility Radeon X800,1300
ATI Mobility FireGL V5200,1203.5
NVIDIA GeForce Go 6600,1150
ATI Mobility Radeon X700,735
ATI Mobility Radeon HD 4330,2352
NVIDIA Quadro NVS 140M,1410
NVIDIA GeForce G 105M,2261
NVIDIA GeForce G 102M,1409
NVIDIA GeForce 9400M (G) / ION (LE),1157
Intel HD Graphics (Bay Trail),1866
AMD Radeon HD 7340,2466.5
AMD Radeon HD 7310,1458.5
AMD Radeon HD 8180,1723.5
ATI Mobility Radeon HD 3470,1566
NVIDIA ION 2,1963
NVIDIA Quadro FX 370M,1595
NVIDIA GeForce 9200M GS,1817.5
AMD Radeon HD 6290,1513
ATI Mobility Radeon HD 3430,1690
ATI Mobility Radeon HD 2400 XT,1689
ATI Radeon HD 4250,1372
Intel Graphics Media Accelerator (GMA) HD Graphics,1420
NVIDIA Quadro NVS 150M,1561
ATI Mobility Radeon X1350,1088
NVIDIA GeForce 9100M G,1200
NVIDIA Quadro NVS 135M,965
ATI Radeon HD 3200,891
ATI Radeon HD 3100,1164
NVIDIA Quadro NVS 130M,1115
Intel Graphics Media Accelerator (GMA) 4500MHD,623
NVIDIA GeForce Go 7400,801.5
NVIDIA Quadro NVS 120M,660
NVIDIA Quadro NVS 110M,600
ATI Mobility Radeon X2300,892
ATI Mobility Radeon 9700,424
NVIDIA GeForce Go 7200,674
ATI Radeon Xpress X1270,327.5
ATI Radeon Xpress 1250,445
Intel Graphics Media Accelerator (GMA) X3100,430.5
NVIDIA GeForce 7150M,315
NVIDIA GeForce Go 6150,200
NVIDIA GeForce 7000M,274
Intel Graphics Media Accelerator (GMA) 3150,144
Intel Graphics Media Accelerator (GMA) 900,57
ATI Radeon Xpress 1100,97
SIS Mirage 3 671MX,68
Intel Graphics Media Accelerator (GMA) 500,68
NVIDIA GeForce RTX 3070 Ti Laptop GPU,54178
NVIDIA GeForce RTX 2080 Super Mobile,41873
AMD Radeon RX 6800S,51423
NVIDIA GeForce RTX 2080 Mobile,41995
NVIDIA GeForce RTX 2070 Super Mobile,43041
NVIDIA GeForce RTX 2080 Super Max-Q,38265
NVIDIA GeForce RTX 2080 Max-Q,37613
NVIDIA GeForce GTX 1080 Mobile,34697.5
NVIDIA GeForce RTX 2070 Max-Q,35284
NVIDIA Quadro P5200,44390
NVIDIA GeForce RTX 2060 Mobile,38509
NVIDIA GeForce GTX 1070 Mobile,31045
AMD Radeon RX 5600M,38139
NVIDIA Quadro P5000,33236
NVIDIA GeForce GTX 1070 Max-Q,30648.5
NVIDIA GeForce GTX 980M SLI,26604
NVIDIA GeForce GTX 980 (Laptop),32943
NVIDIA Quadro P4000,29155
NVIDIA GeForce GTX 1650 Ti Mobile,39720
AMD Radeon Pro 5500M,34321
NVIDIA Quadro P3200,29206.5
AMD Radeon RX 5300M,36032
NVIDIA GeForce GTX 1650 Mobile,34484.5
NVIDIA GeForce GTX 1650 Ti Max-Q,30266
NVIDIA GeForce GTX 1650 Max-Q,32040.5
NVIDIA T500 Laptop GPU,31133
AMD Radeon HD 8970M Crossfire,26430
AMD Radeon HD 7970M Crossfire,27647
AMD Radeon RX Vega M GH,33046
AMD Radeon Pro Vega 20,32864
NVIDIA Quadro P2000,33795
NVIDIA GeForce GTX 970M,26468
NVIDIA GeForce GTX 1050 Ti Max-Q,28797
AMD Radeon R9 M295X,35421
NVIDIA GeForce GTX 1050 Mobile,25817
NVIDIA GeForce GTX 880M,29036.5
NVIDIA GeForce GTX 780M,23381.5
NVIDIA GeForce GTX 965M,24774
NVIDIA Quadro M2200,28149.5
AMD Radeon HD 8970M,18211.5
NVIDIA GeForce GTX 680M,22760
AMD Radeon R9 M390,25800
AMD FirePro M6100,25004
AMD Radeon Pro 560,24516
Intel Iris Xe Graphics G7 96EUs,27110
NVIDIA GeForce GTX 960M,23733
NVIDIA Quadro M1200,26109
AMD Radeon RX 550X (Laptop),21444
AMD Radeon RX 640,20261
AMD Radeon Pro 555,26389
NVIDIA Quadro P600,22920
NVIDIA GeForce MX150,19312.5
NVIDIA Quadro M2000M,25604
NVIDIA Quadro K4100M,25559.5
AMD Radeon RX 540,15818
NVIDIA GeForce GTX 860M,23220.5
AMD Radeon HD 6990M Crossfire,23292
NVIDIA GeForce GTX 485M SLI,23415
NVIDIA GeForce GTX 675MX,23190
NVIDIA GeForce GTX 950M,21645
AMD Radeon 540X,16578
NVIDIA Quadro P520,18941.5
NVIDIA Quadro M1000M,24483
AMD Radeon RX Vega 11,20608
NVIDIA GeForce 945M,20209
NVIDIA GeForce GTX 470M SLI,20607.5
NVIDIA GeForce GTX 560M SLI,21388.5
