name,value,priority,constraint_no
ram,64,3,0
screen_size,13.71,4,0
storage,512,5,0
cpu,i7,5,0
os,10,5,0
screen_size,15.6,1,1
brand,microsoft,4,1
cpu,pentium,3,1
storage,1024,2,1
price,2368.59,1,1
os,os,3,1
camera,False,4,1
ram,4,2,1
brand,lenovo|msi,3,2
os,os,3,2
storage,1024,3,2
weight,1.47,4,2
ram,2,1,2
screen_size,14.21,5,2
camera,False,4,3
cpu,ryzen 3,2,3
storage,256,5,3
screen_size,14.27,5,3
ram,16,5,3
weight,1.3,2,4
storage,256,1,4
price,4965.89,2,4
screen_size,12.95,4,4
camera,True,3,4
brand,asus|huawei|microsoft|msi,3,4
storage,256,1,5
camera,False,4,5
price,3999.0,4,5
screen_size,13.0,2,5
brand,acer|msi|dell|asus,2,5
storage,512,5,6
price,6888.57,5,6
brand,hp|asus|huawei|acer,2,6
screen_size,14.54,5,6
os,11,4,6
weight,1.61,1,6
camera,True,4,6
camera,True,5,7
screen_size,13.0,5,7
os,10,4,7
weight,1.27,2,7
price,4499.0,1,7
storage,256,1,7
cpu,i3|ryzen 3,4,7
brand,acer|hp|lenovo|msi,3,7
os,10,2,8
cpu,ryzen 3,2,8
screen_size,16.31,1,8
weight,1.53,2,8
storage,512,2,8
ram,16,2,8
price,1987.28,4,8
brand,acer|asus,3,9
screen_size,12.03,4,9
ram,4,3,9
weight,1.18,3,9
os,os,3,10
cpu,i7|ryzen 7,3,10
weight,1.39,3,10
price,6386.0,4,10
screen_size,13.5,4,10
brand,lenovo,1,10
weight,1.95,5,11
price,5999.0,4,11
camera,False,4,11
cpu,ryzen 5,3,11
ram,8,4,11
storage,256,4,12
ram,16,2,12
camera,False,1,12
price,4565.17,5,12
brand,dell|asus|acer|hp,5,12
screen_size,14.0,5,12
weight,1.63,4,12
cpu,ryzen 5,2,12
os,11,3,13
brand,microsoft,2,13
ram,16,4,13
camera,True,5,13
screen_size,14.0,3,13
camera,True,2,14
price,4828.0,4,14
weight,1.32,1,14
cpu,i3|i5,1,14
storage,512,3,14
brand,asus|lenovo|microsoft|hp,2,14
ram,4,2,14
os,10,3,14
weight,0,2,15
cpu,i5,1,15
brand,acer,5,15
screen_size,14.12,4,15
price,2567.54,4,15
storage,1024,5,15
os,10,5,15
camera,True,3,15
ram,8,5,16
brand,acer,4,16
screen_size,12.4,1,16
weight,1.11,5,16
camera,False,1,16
storage,128,2,16
ram,4,4,17
camera,True,3,17
storage,256,5,17
price,2499.0,5,17
weight,1.68,3,17
screen_size,14.0,4,17
storage,256,5,18
ram,16,2,18
os,10,2,18
screen_size,13.82,1,18
