name,mark
AMD Ryzen Threadripper PRO 3995WX,195
AMD Ryzen 9 5950X,266.5
AMD Ryzen Threadripper 2970WX,173
AMD Ryzen 9 5900X,260.5
Intel Core i9-9980XE,197.5
AMD Ryzen Threadripper 2950X,176
Intel Core i9-12900H,275
Intel Core i5-12600K,275
Intel Core i9-11900KB,247
Intel Core i9-10900K,217
AMD Ryzen 7 5700G,242
Intel Core i7-11700K,240
Apple M1 Max,197
Intel Core i9-10910,215
AMD Ryzen Threadripper 2920X,178
AMD Ryzen 9 6900HS,253
AMD Ryzen Threadripper 1950X,159
AMD Ryzen 9 5980HS,243
Intel Core i9-11950H,242.5
AMD Ryzen 7 3700X,204
Intel Core i9-9900KS,216
Intel Core i7-11850H,232.5
AMD Ryzen 5 5600X,254
Intel Core i7-11800H,228
Intel Core i7-10700,196
AMD Ryzen 9 4900H,193
AMD Ryzen 9 4900HS,193
Intel Core i9-10885H,211
AMD Ryzen 7 5800U,229
AMD Ryzen 7 4800H,188
Intel Core i9-9980HK,201
Intel Core i7-9700K,205.5
AMD Ryzen 7 4800HS,186.5
Intel Core i9-9880H,190
Intel Core i7-8700K,192
Intel Core i5-11400F,210
AMD Ryzen 7 4980U,182
AMD Ryzen 7 5700U,188
Intel Core i9-8950HK,195
Intel Xeon E-2176G,200
Intel Core i5-11400H,214
Intel Core i7-8700,192
Intel Core i9-9900T,185
Intel Core i7-9750H,185.5
AMD Ryzen 7 1800X,160.78
Intel Xeon E5-2680 v4,100
Intel Xeon E5-2697 v2,105
Intel Core i7-10750H,197
Intel Core i5-10500H,188
Intel Core i7-11375H,230
Apple M1,208
Intel Core i7-11370H,231
Intel Core i7-7740X,195.5
Intel Core i5-8600K,181
Intel Core i5-8500,172
AMD Ryzen 7 4700U,180
Intel Core i7-10810U,182
Intel Core i5-8400,169.5
AMD Ryzen 7 1700,147
AMD Ryzen 5 5600U,221.5
AMD Ryzen 5 4680U,170
AMD Ryzen 5 5500U,177
AMD Ryzen 5 PRO 4650U,175
Intel Core i5-11300H,176
Intel Core i3-10320,188
Intel Core i7-7700,178
Intel Core i7-3960X,159
Intel Core i5-10300H,186
Intel Core i7-8809G,179
Intel Core i5-8500T,145
Intel Xeon E3-1280 v5,163
Intel Xeon E3-1535M v6,175.5
Intel Core i7-8709G,158
Intel Core i7-8705G,174
Intel Core i5-9300H,172
Intel Core i5-8400H,168
Intel Core i5-7600K,179.5
Intel Core i7-5775C,152
Intel Xeon E3-1505M v6,170
AMD Ryzen 5 1500X,154
Intel Core i7-1180G7,188
AMD Ryzen 3 3100,178
Intel Core i3-9100F,171
Intel Core i7-7820HQ,163
Intel Core i7-6920HQ,159.5
Intel Xeon E3-1535M v5,159.5
Intel Core i7-7700HQ,159
Intel Core i5-7500,159
Intel Core i5-8279U,167.5
Intel Core i7-4910MQ,153
Intel Xeon E3-1230 v3,145
Intel Core i7-4790T,152
Intel Core i7-6820HK,152
Intel Core i7-6770HQ,134.5
Intel Core i7-1065G7,178.56
AMD Ryzen 7 3780U,166
Intel Core i5-8259U,152
Intel Core i7-4900MQ,145
Intel Core i7-10510U,182
Intel Core i7-4810MQ,148
