name,mark
NVIDIA GeForce RTX 3080 Ti Laptop GPU,38614.5
NVIDIA GeForce RTX 3070 Ti Laptop GPU,36702.5
AMD Radeon RX 6800M,41706
NVIDIA GeForce RTX 3070 Laptop GPU,33921
AMD Radeon RX 6700M,33497
NVIDIA GeForce GTX 1080 SLI (Laptop),49645
NVIDIA Quadro RTX 5000 (Laptop),24620
NVIDIA GeForce RTX 2070 Super Mobile,29092.5
NVIDIA GeForce RTX 2080 Super Max-Q,29636.5
NVIDIA GeForce RTX 2080 Max-Q,27973
NVIDIA GeForce GTX 1080 Mobile,28526.5
AMD Radeon RX 6600M,27030
NVIDIA Quadro RTX 4000 Max-Q,23574
NVIDIA GeForce GTX 980 SLI (Laptop),33169
NVIDIA Quadro RTX 3000 (Laptop),19878.5
NVIDIA Quadro RTX 3000 Max-Q,17523
NVIDIA GeForce GTX 1070 Mobile,22575.5
AMD Radeon RX 5600M,24213
NVIDIA Quadro P5000,20096
NVIDIA GeForce RTX 3050 Ti Laptop GPU,18550
NVIDIA GeForce GTX 1660 Ti Max-Q,17439
NVIDIA GeForce RTX 3050 Laptop GPU,16955.5
NVIDIA GeForce GTX 970M SLI,18870
NVIDIA Quadro T2000 (Laptop),13523.5
NVIDIA GeForce GTX 1650 Ti Mobile,13266
AMD Radeon Pro 5500M,14725
NVIDIA Quadro P3200,16619
AMD Radeon RX 5300M,14351
NVIDIA GeForce GTX 1650 Mobile,13131.5
NVIDIA GeForce GTX 1650 Ti Max-Q,11538
NVIDIA GeForce GTX 1650 Max-Q,11082.5
NVIDIA T1200 Laptop GPU,14500.5
NVIDIA GeForce GTX 880M SLI,15823
NVIDIA GeForce GTX 965M SLI,14428
AMD Radeon HD 8970M Crossfire,12424
AMD Radeon HD 7970M Crossfire,11119
AMD Radeon RX Vega M GH,14302
AMD Radeon Pro Vega 20,12289
NVIDIA Quadro P2000,8387
NVIDIA Quadro M4000M,10259
AMD Radeon 680M,10856
NVIDIA GeForce GTX 860M SLI,9840
NVIDIA GeForce GTX 1050 Ti Max-Q,8752
AMD Radeon RX Vega M GL / 870,9862
AMD Radeon R9 M295X,8850.5
NVIDIA Quadro M3000M,8288.5
AMD FirePro W7170M,9708
NVIDIA GeForce GTX 880M,8578
NVIDIA GeForce GTX 780M,7776.5
NVIDIA GeForce GTX 680MX,6736
AMD Radeon RX 560X (Laptop),8211.5
NVIDIA Quadro M2200,7372
AMD Radeon R9 M290X,6817
NVIDIA GeForce GTX 675M SLI,6407
AMD Radeon RX 460 (Laptop),7792.5
NVIDIA GeForce GTX 775M,6071
AMD Radeon R9 M390,6819
AMD FirePro M6100,5369
AMD Radeon Pro 560X,7590
AMD Radeon Pro 460,6749
NVIDIA GeForce MX350,6158.5
NVIDIA GeForce GTX 670MX SLI,7042
NVIDIA Quadro P620,5909
AMD Radeon RX 550 (Laptop),4559
AMD Radeon Pro WX 3200,4337.5
AMD Radeon Pro 455,5388
NVIDIA GeForce MX250,4633
NVIDIA GeForce MX150,4494
NVIDIA Quadro M2000M,5143
NVIDIA Quadro K4100M,4957
AMD Radeon RX 540,4646
NVIDIA GeForce GTX 860M,4902
AMD Radeon HD 6990M Crossfire,6422
NVIDIA GeForce GTX 485M SLI,5334
NVIDIA GeForce GTX 675MX,3978.5
NVIDIA GeForce GTX 950M,4367
AMD Radeon 540X,4097
NVIDIA Quadro P520,4185.5
NVIDIA Quadro M1000M,4229.5
AMD Radeon RX Vega 11,5482.75
NVIDIA GeForce 945M,3309.5
NVIDIA GeForce GTX 470M SLI,4070
NVIDIA GeForce GTX 560M SLI,3616
NVIDIA Quadro P500,3022
AMD Radeon RX Vega 10,3389
NVIDIA GeForce GTX 675M,3218
AMD Radeon HD 6990M,3227
NVIDIA GeForce GTX 460M SLI,3313
NVIDIA Quadro K3100M,3581
AMD Radeon R9 M370X,3637.5
NVIDIA Quadro 5010M,2693
AMD Radeon R9 M275,3261
AMD Radeon RX Vega 9,4380
AMD FirePro W5130M,3106
AMD Radeon HD 8870M,2986
NVIDIA Quadro K3000M,2427
Intel UHD Graphics Xe G4 48EUs,3510
